id,Nombre,Primer_apellido,edad,nacimiento,n,e,hijo,asdsads
2,Marcos,G,,,,,,
3,Luis,w,,,,,,
4,Luis,G,,,,,,
5,lucas,fuentes,13,,,,,
6,Luis,ferfer,,,,,,
7,pepe,botella,,,,,,
8,Marcos,Gomez,,2025-10-22,,,,
9,Marcos,botella,,,,,,
10,Marcos,fuentes,,,,,,
11,Marcos,Gomez,,,,,,
12,Marcos,Gomez,,,,,,
13,Marcos,botella,,2025-10-08,,,,
14,Marcos,G,,,,,,
15,pepe,G,,,,,,
17,Marcos56,Gomez,,,,,,
18,dfgdg,dfgdg,,,,,,
19,sdf,sdfsdf,,,,,,
20,pedro,sanchez,,,,,,
21,Marcos,Gomez,,,,,,
22,Marcos,Gomez,,,,,,
23,as,sad,,,,,,
24,lucas,ertert,,,,,,
